/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
[bloom-560m] OD dims excluded from standardization (fixed set, all layers): [35, 105, 164, 188, 276, 431, 494, 544, 644, 721, 833, 927, 945, 1021]
step 860: tokens=41637144/50000000 (83.3%), loss=0.1508, FVE=0.9509, dead_frac=0.000, throughput=28974 tok/s, ETA=0.08h
step 880: tokens=42610512/50000000 (85.2%), loss=0.1534, FVE=0.9487, dead_frac=0.000, throughput=29044 tok/s, ETA=0.07h
step 900: tokens=43582248/50000000 (87.2%), loss=0.1585, FVE=0.9493, dead_frac=0.000, throughput=29111 tok/s, ETA=0.06h
step 920: tokens=44542368/50000000 (89.1%), loss=0.1452, FVE=0.9541, dead_frac=0.000, throughput=29160 tok/s, ETA=0.05h
step 940: tokens=45508416/50000000 (91.0%), loss=0.1490, FVE=0.9529, dead_frac=0.000, throughput=29231 tok/s, ETA=0.04h
step 960: tokens=46472880/50000000 (92.9%), loss=0.1514, FVE=0.9507, dead_frac=0.000, throughput=29291 tok/s, ETA=0.03h
step 980: tokens=47444352/50000000 (94.9%), loss=0.1458, FVE=0.9527, dead_frac=0.000, throughput=29349 tok/s, ETA=0.02h
step 1000: tokens=48419736/50000000 (96.8%), loss=0.1412, FVE=0.9549, dead_frac=0.000, throughput=29412 tok/s, ETA=0.01h
step 1020: tokens=49392000/50000000 (98.8%), loss=0.1460, FVE=0.9560, dead_frac=0.007, throughput=29434 tok/s, ETA=0.01h
Fine-tuning complete: 1033 steps, 50026056 tokens. Saved to checkpoints_od_aware/mlsae_bloom560m_odaware.pt
