/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
step 4300: tokens=204857496/1000000000 (20.5%), loss=0.1366, FVU=0.0122, dead_frac=0.000, throughput=35014 tok/s, ETA=6.3h
step 4400: tokens=209605632/1000000000 (21.0%), loss=0.1382, FVU=0.0114, dead_frac=0.000, throughput=35007 tok/s, ETA=6.3h
step 4500: tokens=214357272/1000000000 (21.4%), loss=0.1295, FVU=0.0116, dead_frac=0.000, throughput=35006 tok/s, ETA=6.2h
step 4600: tokens=219126936/1000000000 (21.9%), loss=0.1377, FVU=0.0111, dead_frac=0.000, throughput=35015 tok/s, ETA=6.2h
step 4700: tokens=223908624/1000000000 (22.4%), loss=0.1331, FVU=0.0108, dead_frac=0.000, throughput=35012 tok/s, ETA=6.2h
step 4800: tokens=228700272/1000000000 (22.9%), loss=0.1298, FVU=0.0107, dead_frac=0.000, throughput=35012 tok/s, ETA=6.1h
step 4900: tokens=233462232/1000000000 (23.3%), loss=0.1334, FVU=0.0118, dead_frac=0.000, throughput=35021 tok/s, ETA=6.1h
step 5000: tokens=238241784/1000000000 (23.8%), loss=0.1213, FVU=0.0116, dead_frac=0.000, throughput=35029 tok/s, ETA=6.0h
step 5100: tokens=242985264/1000000000 (24.3%), loss=0.1324, FVU=0.0110, dead_frac=0.000, throughput=35023 tok/s, ETA=6.0h
step 5200: tokens=247744800/1000000000 (24.8%), loss=0.1262, FVU=0.0109, dead_frac=0.000, throughput=35028 tok/s, ETA=6.0h
step 5300: tokens=252495648/1000000000 (25.2%), loss=0.1322, FVU=0.0112, dead_frac=0.000, throughput=35024 tok/s, ETA=5.9h
step 5400: tokens=257244024/1000000000 (25.7%), loss=0.1241, FVU=0.0108, dead_frac=0.000, throughput=35011 tok/s, ETA=5.9h
step 5500: tokens=262018464/1000000000 (26.2%), loss=0.1259, FVU=0.0116, dead_frac=0.000, throughput=35018 tok/s, ETA=5.9h
step 5600: tokens=266777232/1000000000 (26.7%), loss=0.1241, FVU=0.0098, dead_frac=0.000, throughput=35005 tok/s, ETA=5.8h
step 5700: tokens=271543992/1000000000 (27.2%), loss=0.1334, FVU=0.0106, dead_frac=0.000, throughput=35002 tok/s, ETA=5.8h
step 5800: tokens=276303456/1000000000 (27.6%), loss=0.1236, FVU=0.0102, dead_frac=0.000, throughput=35009 tok/s, ETA=5.7h
step 5900: tokens=281062152/1000000000 (28.1%), loss=0.1218, FVU=0.0108, dead_frac=0.000, throughput=34995 tok/s, ETA=5.7h
step 6000: tokens=285814296/1000000000 (28.6%), loss=0.1270, FVU=0.0111, dead_frac=0.000, throughput=34994 tok/s, ETA=5.7h
step 6100: tokens=290595624/1000000000 (29.1%), loss=0.1282, FVU=0.0111, dead_frac=0.000, throughput=34992 tok/s, ETA=5.6h
step 6200: tokens=295364232/1000000000 (29.5%), loss=0.1232, FVU=0.0109, dead_frac=0.000, throughput=34989 tok/s, ETA=5.6h
step 6300: tokens=300118608/1000000000 (30.0%), loss=0.1241, FVU=0.0099, dead_frac=0.000, throughput=34984 tok/s, ETA=5.6h
step 6400: tokens=304864752/1000000000 (30.5%), loss=0.1266, FVU=0.0109, dead_frac=0.000, throughput=34988 tok/s, ETA=5.5h
step 6500: tokens=309603960/1000000000 (31.0%), loss=0.1236, FVU=0.0107, dead_frac=0.000, throughput=34986 tok/s, ETA=5.5h
step 6600: tokens=314358408/1000000000 (31.4%), loss=0.1208, FVU=0.0094, dead_frac=0.000, throughput=34985 tok/s, ETA=5.4h
step 6700: tokens=319141896/1000000000 (31.9%), loss=0.1248, FVU=0.0110, dead_frac=0.000, throughput=34991 tok/s, ETA=5.4h
step 6800: tokens=323929008/1000000000 (32.4%), loss=0.1203, FVU=0.0104, dead_frac=0.000, throughput=34996 tok/s, ETA=5.4h
step 6900: tokens=328691904/1000000000 (32.9%), loss=0.1237, FVU=0.0104, dead_frac=0.000, throughput=34992 tok/s, ETA=5.3h
