/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
step 4300: tokens=204997896/1000000000 (20.5%), loss=0.1290, FVU=0.0396, dead_frac=0.000, throughput=33189 tok/s, ETA=6.7h
step 4400: tokens=209650944/1000000000 (21.0%), loss=0.1254, FVU=0.0382, dead_frac=0.000, throughput=33212 tok/s, ETA=6.6h
step 4500: tokens=214260960/1000000000 (21.4%), loss=0.1071, FVU=0.0338, dead_frac=0.000, throughput=33238 tok/s, ETA=6.6h
step 4600: tokens=218902416/1000000000 (21.9%), loss=0.1151, FVU=0.0354, dead_frac=0.000, throughput=33261 tok/s, ETA=6.5h
step 4700: tokens=223636584/1000000000 (22.4%), loss=0.1138, FVU=0.0342, dead_frac=0.000, throughput=33286 tok/s, ETA=6.5h
step 4800: tokens=228401328/1000000000 (22.8%), loss=0.1116, FVU=0.0347, dead_frac=0.000, throughput=33310 tok/s, ETA=6.4h
step 4900: tokens=233131368/1000000000 (23.3%), loss=0.1256, FVU=0.0394, dead_frac=0.000, throughput=33331 tok/s, ETA=6.4h
step 5000: tokens=237789456/1000000000 (23.8%), loss=0.1053, FVU=0.0323, dead_frac=0.000, throughput=33352 tok/s, ETA=6.3h
step 5100: tokens=242437080/1000000000 (24.2%), loss=0.1154, FVU=0.0355, dead_frac=0.000, throughput=33374 tok/s, ETA=6.3h
step 5200: tokens=247135440/1000000000 (24.7%), loss=0.1180, FVU=0.0345, dead_frac=0.000, throughput=33392 tok/s, ETA=6.3h
step 5300: tokens=251786640/1000000000 (25.2%), loss=0.1217, FVU=0.0388, dead_frac=0.000, throughput=33407 tok/s, ETA=6.2h
step 5400: tokens=256410792/1000000000 (25.6%), loss=0.1031, FVU=0.0338, dead_frac=0.000, throughput=33428 tok/s, ETA=6.2h
step 5500: tokens=261109728/1000000000 (26.1%), loss=0.1117, FVU=0.0351, dead_frac=0.000, throughput=33448 tok/s, ETA=6.1h
step 5600: tokens=265761936/1000000000 (26.6%), loss=0.1114, FVU=0.0358, dead_frac=0.000, throughput=33466 tok/s, ETA=6.1h
step 5700: tokens=270484272/1000000000 (27.0%), loss=0.1083, FVU=0.0359, dead_frac=0.000, throughput=33480 tok/s, ETA=6.1h
step 5800: tokens=275254896/1000000000 (27.5%), loss=0.1154, FVU=0.0353, dead_frac=0.000, throughput=33495 tok/s, ETA=6.0h
step 5900: tokens=279824400/1000000000 (28.0%), loss=0.1121, FVU=0.0348, dead_frac=0.000, throughput=33508 tok/s, ETA=6.0h
step 6000: tokens=284528304/1000000000 (28.5%), loss=0.1105, FVU=0.0334, dead_frac=0.000, throughput=33524 tok/s, ETA=5.9h
step 6100: tokens=289260480/1000000000 (28.9%), loss=0.1172, FVU=0.0368, dead_frac=0.000, throughput=33533 tok/s, ETA=5.9h
step 6200: tokens=294064224/1000000000 (29.4%), loss=0.1165, FVU=0.0372, dead_frac=0.000, throughput=33546 tok/s, ETA=5.8h
step 6300: tokens=298770288/1000000000 (29.9%), loss=0.1036, FVU=0.0329, dead_frac=0.000, throughput=33558 tok/s, ETA=5.8h
step 6400: tokens=303494256/1000000000 (30.3%), loss=0.0927, FVU=0.0296, dead_frac=0.000, throughput=33573 tok/s, ETA=5.8h
step 6500: tokens=308210040/1000000000 (30.8%), loss=0.1199, FVU=0.0373, dead_frac=0.000, throughput=33587 tok/s, ETA=5.7h
step 6600: tokens=312935424/1000000000 (31.3%), loss=0.1173, FVU=0.0366, dead_frac=0.000, throughput=33600 tok/s, ETA=5.7h
step 6700: tokens=317709696/1000000000 (31.8%), loss=0.1347, FVU=0.0430, dead_frac=0.000, throughput=33611 tok/s, ETA=5.6h
step 6800: tokens=322487448/1000000000 (32.2%), loss=0.1219, FVU=0.0384, dead_frac=0.000, throughput=33623 tok/s, ETA=5.6h
step 6900: tokens=327290040/1000000000 (32.7%), loss=0.1145, FVU=0.0372, dead_frac=0.000, throughput=33633 tok/s, ETA=5.6h
step 7000: tokens=332045568/1000000000 (33.2%), loss=0.1282, FVU=0.0414, dead_frac=0.000, throughput=33645 tok/s, ETA=5.5h
step 7100: tokens=336855024/1000000000 (33.7%), loss=0.1316, FVU=0.0423, dead_frac=0.000, throughput=33655 tok/s, ETA=5.5h
step 7200: tokens=341630040/1000000000 (34.2%), loss=0.1230, FVU=0.0398, dead_frac=0.000, throughput=33665 tok/s, ETA=5.4h
step 7300: tokens=346397880/1000000000 (34.6%), loss=0.1233, FVU=0.0370, dead_frac=0.001, throughput=33675 tok/s, ETA=5.4h
step 7400: tokens=351205416/1000000000 (35.1%), loss=0.1276, FVU=0.0397, dead_frac=0.001, throughput=33683 tok/s, ETA=5.4h
step 7500: tokens=355985904/1000000000 (35.6%), loss=0.1203, FVU=0.0386, dead_frac=0.001, throughput=33691 tok/s, ETA=5.3h
step 7600: tokens=360627480/1000000000 (36.1%), loss=0.1167, FVU=0.0352, dead_frac=0.002, throughput=33700 tok/s, ETA=5.3h
step 7700: tokens=365377080/1000000000 (36.5%), loss=0.1224, FVU=0.0362, dead_frac=0.002, throughput=33709 tok/s, ETA=5.2h
step 7800: tokens=369958776/1000000000 (37.0%), loss=0.1037, FVU=0.0308, dead_frac=0.002, throughput=33718 tok/s, ETA=5.2h
step 7900: tokens=374565504/1000000000 (37.5%), loss=0.1173, FVU=0.0373, dead_frac=0.002, throughput=33724 tok/s, ETA=5.2h
step 8000: tokens=379270848/1000000000 (37.9%), loss=0.1175, FVU=0.0366, dead_frac=0.002, throughput=33732 tok/s, ETA=5.1h
step 8100: tokens=383980992/1000000000 (38.4%), loss=0.1245, FVU=0.0394, dead_frac=0.002, throughput=33735 tok/s, ETA=5.1h
step 8200: tokens=388682640/1000000000 (38.9%), loss=0.1278, FVU=0.0402, dead_frac=0.002, throughput=33742 tok/s, ETA=5.0h
step 8300: tokens=393273648/1000000000 (39.3%), loss=0.1183, FVU=0.0373, dead_frac=0.002, throughput=33749 tok/s, ETA=5.0h
step 8400: tokens=397910352/1000000000 (39.8%), loss=0.1128, FVU=0.0340, dead_frac=0.002, throughput=33755 tok/s, ETA=5.0h
step 8500: tokens=402523536/1000000000 (40.3%), loss=0.1096, FVU=0.0354, dead_frac=0.003, throughput=33761 tok/s, ETA=4.9h
step 8600: tokens=407202816/1000000000 (40.7%), loss=0.1114, FVU=0.0353, dead_frac=0.003, throughput=33769 tok/s, ETA=4.9h
step 8700: tokens=411971712/1000000000 (41.2%), loss=0.1004, FVU=0.0326, dead_frac=0.003, throughput=33776 tok/s, ETA=4.8h
step 8800: tokens=416750832/1000000000 (41.7%), loss=0.1172, FVU=0.0376, dead_frac=0.003, throughput=33785 tok/s, ETA=4.8h
step 8900: tokens=421500096/1000000000 (42.2%), loss=0.1091, FVU=0.0364, dead_frac=0.003, throughput=33793 tok/s, ETA=4.8h
step 9000: tokens=426288744/1000000000 (42.6%), loss=0.1204, FVU=0.0389, dead_frac=0.003, throughput=33801 tok/s, ETA=4.7h
step 9100: tokens=431027064/1000000000 (43.1%), loss=0.1116, FVU=0.0360, dead_frac=0.003, throughput=33807 tok/s, ETA=4.7h
step 9200: tokens=435667560/1000000000 (43.6%), loss=0.1051, FVU=0.0323, dead_frac=0.003, throughput=33813 tok/s, ETA=4.6h
