/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
[bloom-1b7] Loading model on cuda:1...
MLSAE: n_inputs=2048, n_latents=131072, k=32
Streaming probe corpus: ['en', 'fr', 'es', 'pt', 'zh', 'ar', 'vi', 'hi', 'id', 'bn', 'sw'], 1500 examples/language...
  en: 1500 examples
  fr: 1500 examples
  es: 1500 examples
  pt: 1500 examples
  zh: 1500 examples
  ar: 1500 examples
  vi: 1500 examples
  hi: 1500 examples
  id: 1500 examples
  bn: 1500 examples
  sw: 1500 examples
  corpus streamed in 118s
Pass 1/2: streaming through every example, accumulating LAPE statistics only...
  2000/16500 examples processed, 42s elapsed
  4000/16500 examples processed, 84s elapsed
  6000/16500 examples processed, 126s elapsed
  8000/16500 examples processed, 169s elapsed
  10000/16500 examples processed, 212s elapsed
  12000/16500 examples processed, 255s elapsed
  14000/16500 examples processed, 299s elapsed
  16000/16500 examples processed, 342s elapsed
  LAPE accumulation done in 352s
  1653 language-specific neurons found (percentile cutoff)
Pass 2/2: re-streaming each language's examples, this time caching only the residual stream plus the 150 target neurons' own activation columns...
  selective caching done in 558s
Analyzing top 150 neurons (attribution + patching)...
  [1/150] L14N6254 (zh): overlap=1.00, n_patchable=17, attributed/neuron=0.848/0.103, random=0.002 (4s)
  [2/150] L23N6576 (ar): overlap=1.00, n_patchable=5, attributed/neuron=1.082/0.327, random=0.000 (3s)
  [3/150] L22N5136 (ar): overlap=0.54, n_patchable=10, attributed/neuron=1.132/0.233, random=0.000 (4s)
  [4/150] L22N2773 (bn): overlap=0.82, n_patchable=23, attributed/neuron=1.291/0.616, random=0.000 (3s)
  [5/150] L21N2516 (bn): overlap=0.29, n_patchable=13, attributed/neuron=1.822/0.520, random=0.000 (4s)
  [6/150] L22N6684 (sw): overlap=0.54, n_patchable=2, attributed/neuron=0.037/0.245, random=0.000 (4s)
  [7/150] L1N8098 (ar): overlap=1.00, n_patchable=22, attributed/neuron=1.824/0.250, random=0.000 (4s)
  [8/150] L22N6350 (ar): overlap=0.60, n_patchable=16, attributed/neuron=1.073/0.157, random=0.000 (4s)
  [9/150] L20N5043 (id): overlap=0.54, n_patchable=16, attributed/neuron=3.003/0.117, random=0.000 (3s)
  [10/150] L2N4741 (bn): overlap=0.82, n_patchable=12, attributed/neuron=0.545/0.551, random=0.000 (3s)
  [11/150] L19N5715 (zh): overlap=0.74, n_patchable=16, attributed/neuron=1.454/0.098, random=0.000 (3s)
  [12/150] L22N7909 (zh): overlap=1.00, n_patchable=17, attributed/neuron=1.242/0.113, random=0.000 (4s)
  [13/150] L23N585 (bn): overlap=0.90, n_patchable=11, attributed/neuron=0.547/0.183, random=0.000 (4s)
  [14/150] L22N4599 (zh): overlap=0.43, n_patchable=11, attributed/neuron=1.903/0.757, random=0.000 (4s)
  [15/150] L2N3950 (zh): overlap=0.82, n_patchable=18, attributed/neuron=1.617/0.285, random=0.000 (3s)
  [16/150] L23N5175 (ar): overlap=0.82, n_patchable=7, attributed/neuron=1.463/0.269, random=0.000 (4s)
  [17/150] L23N7010 (fr): overlap=1.00, n_patchable=6, attributed/neuron=0.836/0.091, random=0.000 (4s)
  [18/150] L19N4704 (sw): overlap=0.74, n_patchable=4, attributed/neuron=0.137/0.153, random=0.000 (4s)
  [19/150] L22N7140 (bn): overlap=0.60, n_patchable=29, attributed/neuron=1.585/0.804, random=0.000 (4s)
  [20/150] L22N3570 (ar): overlap=0.74, n_patchable=8, attributed/neuron=1.174/0.188, random=0.000 (4s)
  [21/150] L20N7555 (hi): overlap=0.82, n_patchable=11, attributed/neuron=0.482/0.100, random=0.000 (4s)
  [22/150] L16N2552 (sw): overlap=0.74, n_patchable=1, attributed/neuron=0.815/0.222, random=0.000 (4s)
  [23/150] L15N6565 (sw): overlap=0.90, n_patchable=13, attributed/neuron=1.023/0.365, random=0.000 (4s)
  [24/150] L1N2201 (id): overlap=0.74, n_patchable=27, attributed/neuron=1.735/0.345, random=0.000 (4s)
  [25/150] L23N6082 (zh): overlap=0.82, n_patchable=19, attributed/neuron=1.428/0.057, random=0.000 (3s)
  [26/150] L21N2400 (sw): overlap=0.90, n_patchable=6, attributed/neuron=0.550/0.242, random=0.000 (4s)
  [27/150] L23N5823 (bn): overlap=0.82, n_patchable=7, attributed/neuron=1.193/0.243, random=0.000 (4s)
  [28/150] L23N3524 (ar): overlap=0.82, n_patchable=17, attributed/neuron=0.775/0.232, random=0.000 (4s)
  [29/150] L23N3454 (pt): overlap=1.00, n_patchable=7, attributed/neuron=0.156/0.057, random=0.000 (4s)
  [30/150] L22N5176 (ar): overlap=0.43, n_patchable=12, attributed/neuron=0.838/0.181, random=0.000 (4s)
  [31/150] L21N4047 (zh): overlap=0.90, n_patchable=14, attributed/neuron=0.640/0.092, random=0.000 (4s)
  [32/150] L1N5996 (vi): overlap=0.82, n_patchable=19, attributed/neuron=1.481/0.404, random=0.000 (4s)
  [33/150] L22N1573 (zh): overlap=1.00, n_patchable=11, attributed/neuron=0.772/0.081, random=0.000 (4s)
  [34/150] L22N2780 (zh): overlap=0.54, n_patchable=15, attributed/neuron=3.023/0.239, random=0.000 (4s)
  [35/150] L23N5948 (zh): overlap=1.00, n_patchable=5, attributed/neuron=0.714/0.082, random=0.000 (4s)
  [36/150] L23N2384 (zh): overlap=0.54, n_patchable=8, attributed/neuron=1.279/0.083, random=0.000 (4s)
  [37/150] L23N7750 (zh): overlap=0.90, n_patchable=15, attributed/neuron=0.740/0.149, random=0.009 (4s)
  [38/150] L23N7069 (pt): overlap=0.90, n_patchable=5, attributed/neuron=0.113/0.081, random=0.000 (4s)
  [39/150] L23N2421 (hi): overlap=0.82, n_patchable=7, attributed/neuron=1.142/0.348, random=0.000 (3s)
  [40/150] L20N6073 (sw): overlap=1.00, n_patchable=9, attributed/neuron=0.652/0.584, random=0.000 (4s)
  [41/150] L22N626 (en): overlap=1.00, n_patchable=18, attributed/neuron=0.827/0.116, random=0.000 (4s)
  [42/150] L23N2819 (bn): overlap=0.82, n_patchable=13, attributed/neuron=0.956/0.224, random=0.000 (4s)
  [43/150] L21N3425 (zh): overlap=0.90, n_patchable=18, attributed/neuron=2.493/0.112, random=0.000 (4s)
  [44/150] L23N5514 (en): overlap=0.90, n_patchable=17, attributed/neuron=2.423/0.068, random=0.000 (4s)
